基金代码,scale,m_fee,c_fee,sale_fee,sub_fee
000001,48.1,1.5,0.25,0.0,0.15
000003,1.3,0.75,0.2,0.0,0.08
000004,0.95,0.75,0.2,0.4,0.00
000008,14.95,0.15,0.05,0.0,0.12
000011,71.38,1.5,0.25,0.0,0.15
000014,6.44,0.7,0.2,0.0,0.06
000015,36.39,0.3,0.2,0.0,0.08
000016,5.1,0.3,0.2,0.4,0.00
000017,10.33,1.5,0.25,0.0,0.15
000020,17.84,1.5,0.25,0.0,0.15
000021,80.97,1.5,0.25,0.0,0.15
000024,26.03,0.75,0.2,0.0,0.08
000025,7.65,0.75,0.2,0.4,0.00
000028,0.51,0.7,0.2,0.0,0.08
000029,7.11,1.5,0.25,0.0,0.15
000030,2.68,1.5,0.25,0.0,0.15
000031,49.85,1.5,0.25,0.0,0.15
000032,42.23,0.7,0.2,0.0,0.08
000033,7.58,0.7,0.2,0.4,0.00
000039,3.12,1.5,0.25,0.0,0.15
000041,35.89,1.85,0.35,0.0,0.16
000042,2.67,1.0,0.15,0.0,0.12
000043,9.88,1.8,0.35,0.0,0.15
000044,0.59,1.8,0.35,0.0,1.50
000045,121.8,0.6,0.2,0.0,0.08
000046,2.69,0.6,0.2,0.4,0.00
000047,7.42,0.6,0.2,0.0,0.08
000048,1.94,0.6,0.2,0.3,0.00
000051,119.55,0.5,0.1,0.0,0.12
000054,5.1,0.5,0.15,0.0,0.08
000055,23.47,0.8,0.25,0.0,1.30
000056,0.87,1.5,0.25,0.0,0.15
000057,0.65,1.5,0.25,0.0,0.15
000059,13.41,0.8,0.2,0.0,0.12
000061,10.83,1.5,0.25,0.0,0.15
000063,5.41,1.5,0.25,0.0,0.15
000065,14.86,0.9,0.25,0.0,0.15
000066,0.51,1.5,0.25,0.0,0.15
000069,0.59,0.6,0.2,0.0,0.08
000070,0.91,0.6,0.2,0.3,0.00
000071,21.89,0.6,0.15,0.0,0.12
000072,6.48,0.7,0.2,0.0,0.15
000073,4.26,1.5,0.25,0.0,0.15
000075,21.89,0.6,0.15,0.0,0.00
000080,0.38,0.7,0.2,0.0,0.08
000081,0.74,0.7,0.2,0.4,0.00
000082,5.53,1.5,0.25,0.0,0.15
000083,176.96,1.5,0.25,0.0,0.15
000089,12.06,0.3,0.1,0.25,0.00
000090,1.39,0.3,0.1,0.0,0.06
000103,0.62,1.1,0.28,0.0,0.08
000104,0.01,0.4,0.2,0.0,0.08
000107,14.51,0.5,0.2,0.0,0.08
000109,0.73,0.5,0.2,0.4,0.00
000117,8.76,1.5,0.25,0.0,0.15
000120,0.66,1.5,0.25,0.0,0.15
000121,9.72,0.9,0.2,0.0,0.08
000122,3.75,0.3,0.1,0.0,0.10
000123,0.58,0.3,0.1,0.4,0.00
000124,10.15,1.5,0.25,0.0,0.15
000126,3.95,1.5,0.25,0.0,0.15
000127,21.02,1.5,0.25,0.0,0.15
000128,35.28,0.4,0.14,0.3,0.00
000129,29.04,0.4,0.14,0.01,0.00
000130,0.42,0.7,0.2,0.0,0.08
000131,0.1,0.7,0.2,0.4,0.00
000136,32.1,1.5,0.25,0.0,0.15
000142,0.34,0.7,0.2,0.0,0.08
000143,2.61,0.5,0.15,0.0,0.08
000149,1.6,0.7,0.2,0.0,0.08
000150,0.5,0.7,0.2,0.35,0.00
000165,3.04,1.5,0.25,0.0,0.15
000166,1.0,1.5,0.25,0.0,0.15
000167,5.62,1.5,0.25,0.0,0.15
000171,209.93,0.4,0.1,0.0,0.10
000172,18.4,1.0,0.25,0.0,0.12
000173,28.33,1.5,0.25,0.0,0.15
000174,23.69,0.7,0.2,0.0,0.10
000175,8.35,0.7,0.2,0.4,0.00
000176,22.58,1.0,0.18,0.0,0.10
000179,0.98,0.8,0.3,0.0,0.13
000181,0.03,0.4,0.2,0.0,0.08
000182,0.02,0.4,0.2,0.4,0.00
000184,0.55,0.7,0.2,0.0,0.08
000185,0.14,0.7,0.2,0.4,0.00
000186,27.3,0.35,0.1,0.0,0.08
000187,10.31,0.3,0.15,0.0,0.08
000188,0.15,0.3,0.15,0.4,0.00
000189,24.2,0.8,0.2,0.0,0.08
000190,79.39,1.2,0.2,0.0,0.12
000199,2.09,1.5,0.25,0.0,0.12
000205,33.32,0.7,0.2,0.0,0.08
000206,1.67,0.7,0.2,0.3,0.00
000209,1.71,1.5,0.25,0.0,0.15
000215,100.99,0.6,0.15,0.0,0.15
000216,18.7,0.5,0.1,0.0,0.06
000217,41.26,0.5,0.1,0.35,0.00
000218,1.66,0.5,0.1,0.0,0.07
000219,5.61,1.5,0.25,0.0,0.15
000220,19.97,1.5,0.25,0.0,0.15
000241,0.48,1.5,0.25,1.5,0.00
000242,2.32,1.5,0.25,0.0,0.15
000248,50.95,0.5,0.1,0.0,0.10
000251,96.94,1.5,0.25,0.0,0.15
000256,0.12,1.2,0.25,0.0,0.12
000259,4.52,1.5,0.25,0.0,0.15
000263,35.31,1.5,0.25,0.0,0.15
000264,3.44,1.5,0.25,0.0,0.15
000273,0.12,1.4,0.2,0.0,0.12
000279,2.53,1.5,0.25,0.0,0.15
000290,26.85,1.0,0.3,0.0,0.08
000294,34.37,1.5,0.25,0.0,0.15
000297,12.73,1.0,0.2,0.0,0.08
000298,0.01,0.7,0.2,0.0,0.08
000299,0.04,0.7,0.2,0.4,0.00
000305,38.58,0.3,0.1,0.0,0.08
000307,8.79,0.5,0.1,0.0,0.07
000308,1.68,1.5,0.25,0.0,0.15
000309,3.21,1.5,0.25,0.0,0.15
000311,67.49,1.0,0.2,0.0,0.12
000312,4.55,1.0,0.15,0.0,0.12
000313,4.55,1.0,0.15,0.4,0.00
000319,0.05,0.6,0.2,0.0,0.08
000320,0.03,0.6,0.2,0.25,0.00
000322,1.11,0.27,0.08,0.0,0.08
000327,1.73,1.5,0.25,0.0,0.15
000328,5.96,1.5,0.25,0.0,0.15
000333,2.35,0.75,0.2,0.0,0.08
000334,0.55,0.75,0.2,0.4,0.00
000338,44.35,0.5,0.1,0.0,0.08
000354,0.46,1.5,0.25,0.0,0.15
000355,26.59,0.7,0.2,0.0,0.08
000356,2.7,0.7,0.2,0.4,0.00
000362,49.7,1.5,0.2,0.0,0.15
000363,29.55,1.5,0.2,0.5,0.00
000368,4.61,0.5,0.1,0.0,0.12
000373,0.43,0.5,0.1,0.0,0.12
000376,0.48,0.5,0.1,0.4,0.00
000377,0.12,0.7,0.2,0.0,0.08
000378,0.06,0.7,0.2,0.4,0.00
000385,11.0,0.4,0.1,0.0,0.08
000386,0.09,0.4,0.1,0.4,0.00
000390,22.26,1.5,0.25,0.0,0.15
000394,1.98,0.3,0.1,0.3,0.00
000395,1.87,0.7,0.2,0.0,0.08
000396,0.36,0.7,0.2,0.4,0.00
000398,3.38,1.5,0.25,0.0,0.15
000404,78.02,1.5,0.25,0.0,0.15
000406,5.46,0.4,0.1,0.0,0.10
000407,0.91,0.4,0.1,0.4,0.00
000408,13.49,1.5,0.25,0.0,0.15
000409,11.47,1.5,0.25,0.0,0.15
000410,1.12,0.9,0.25,0.0,0.15
000411,0.46,1.5,0.25,0.0,0.15
000418,4.06,1.5,0.25,0.0,0.15
000421,0.66,0.3,0.1,0.0,0.08
000422,0.01,0.3,0.1,0.4,0.00
000423,0.78,0.9,0.05,0.0,0.15
000431,5.76,1.5,0.25,0.0,0.15
000432,0.85,1.5,0.25,0.0,0.15
000433,0.15,1.0,0.2,0.0,0.10
000435,0.08,0.7,0.2,0.0,0.06
000452,27.36,1.5,0.25,0.0,0.15
000457,16.49,1.5,0.25,0.0,0.15
000458,0.45,1.5,0.25,0.0,0.12
000462,5.66,1.5,0.25,0.0,0.15
000466,0.15,0.7,0.2,0.0,0.06
000471,8.44,1.5,0.25,0.0,0.15
000477,9.01,1.5,0.25,0.0,0.15
000478,45.83,1.0,0.2,0.0,0.15
000480,15.26,1.5,0.25,0.0,1.50
000489,10.09,0.6,0.2,0.0,0.08
000490,0.01,0.6,0.2,0.4,0.00
000496,0.13,1.2,0.25,0.0,0.15
000501,0.12,0.6,0.1,0.4,0.00
000502,2.49,0.6,0.1,0.0,0.08
000503,5.54,0.3,0.1,0.0,0.03
000504,0.04,0.3,0.1,0.4,0.00
000507,4.76,0.6,0.25,0.0,0.12
000508,1.78,0.6,0.25,0.3,0.00
000512,3.22,0.9,0.2,0.0,0.10
000513,17.31,1.5,0.25,0.0,0.15
000522,3.63,1.5,0.25,0.0,0.15
000523,3.52,1.5,0.25,0.0,0.15
000524,2.5,1.5,0.25,0.0,0.15
000527,65.28,1.5,0.25,0.0,0.15
000529,16.42,1.5,0.25,0.0,0.15
000531,0.39,1.5,0.25,0.0,0.15
000532,4.15,1.5,0.25,0.0,0.15
000534,2.3,1.5,0.25,0.0,0.15
000535,2.2,1.5,0.25,0.0,0.15
000536,0.75,1.0,0.2,0.0,0.08
000538,0.46,1.5,0.25,0.0,0.15
000541,11.81,1.5,0.25,0.0,0.15
000545,4.91,0.0,0.25,0.0,0.15
