基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
000001,HXCZHH,混合型,华夏成长混合,1.3860,3.8970,1.39,3.9010,-0.0040,-0.29,开放申购,开放赎回,0.15%
000003,ZHKZZZQA,债券型,中海可转债债券A,0.9590,1.1690,0.9640,1.1740,-0.0050,-0.52,开放申购,开放赎回,0.08%
000004,ZHKZZZQC,债券型,中海可转债债券C,0.9560,1.1660,0.9610,1.1710,-0.0050,-0.52,开放申购,开放赎回,0.00%
000005,JSZQXYDQZQ,定开债券,嘉实增强信用定期债券,1.0170,1.3880,1.0170,1.3880,0,0.00,暂停申购,暂停赎回,0.08%
000006,XBLDLHCZHHA,混合型,西部利得量化成长混合A,2.0810,2.1690,2.0867,2.1747,-0.0057,-0.27,限大额,开放赎回,0.15%
000008,JSZZ500ETFLJA,联接基金,嘉实中证500ETF联接A,1.76,1.8260,1.7720,1.8380,-0.0120,-0.68,开放申购,开放赎回,0.12%
000011,HXDPJXHH,混合型,华夏大盘精选混合,20.3850,27.1890,20.4410,27.2450,-0.0560,-0.27,开放申购,开放赎回,0.15%
000014,HXJLZQ,债券型,华夏聚利债券,1.7240,1.7240,1.7320,1.7320,-0.0080,-0.46,开放申购,开放赎回,0.06%
000015,HXCZZQA,债券型,华夏纯债债券A,1.2070,1.3770,1.2060,1.3760,0.0010,0.08,开放申购,开放赎回,0.08%
000016,HXCZZQC,债券型,华夏纯债债券C,1.1740,1.3340,1.1730,1.3330,0.0010,0.09,开放申购,开放赎回,0.00%
000017,CTKCXHH,混合型,财通可持续混合,2.2980,3.89,2.3270,3.9190,-0.0290,-1.25,开放申购,开放赎回,0.15%
000020,JSCCPZTZHH,混合型,景顺长城品质投资混合,4.2970,4.4650,4.3270,4.4950,-0.03,-0.69,开放申购,开放赎回,0.15%
000021,HXYSZZHH,混合型,华夏优势增长混合,3.2830,4.4530,3.3630,4.5330,-0.08,-2.38,开放申购,开放赎回,0.15%
