基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
000008,JSZZ500ETFLJA,联接基金,嘉实中证500ETF联接A,1.76,1.8260,1.7720,1.8380,-0.0120,-0.68,开放申购,开放赎回,0.12%,14.95,0.15,0.05,0.0,0.12
000478,JXZZ500ZSZQA,股票指数,建信中证500指数增强A,2.6850,2.6850,2.6937,2.6937,-0.0087,-0.32,开放申购,开放赎回,0.15%,45.83,1.0,0.2,0.0,0.15
000962,THZZ500ETFLJA,联接基金,天弘中证500ETF联接A,1.1569,1.1569,1.1646,1.1646,-0.0077,-0.66,开放申购,开放赎回,0.10%,15.53,0.5,0.1,0.0,0.10
001052,HXZZ500ETFLJA,联接基金,华夏中证500ETF联接A,0.7257,0.7257,0.7306,0.7306,-0.0049,-0.67,开放申购,开放赎回,0.12%,24.21,0.5,0.1,0.0,0.12
001214,HTBRZZ500ETFLJA,联接基金,华泰柏瑞中证500ETF联接A,0.7616,0.7616,0.7666,0.7666,-0.0050,-0.65,开放申购,开放赎回,0.10%,1.45,0.15,0.05,0.0,0.10
001241,GSABZZ500ETFLJ,联接基金,国寿安保中证500ETF联接,0.6382,0.6382,0.6424,0.6424,-0.0042,-0.65,开放申购,开放赎回,0.12%,8.51,0.5,0.1,0.0,0.12
001351,NAZZ500ZSZQA,股票指数,诺安中证500指数增强A,1.0188,1.0188,1.0261,1.0261,-0.0073,-0.71,开放申购,开放赎回,0.12%,0.93,1.0,0.15,0.0,0.12
001455,JSCCZZ500ETFLJ,联接基金,景顺长城中证500ETF联接,0.9380,0.9380,0.9440,0.9440,-0.0060,-0.64,开放申购,开放赎回,0.12%,0.78,0.5,0.1,0.0,0.12
001556,THZZ500ZSZQA,股票指数,天弘中证500指数增强A,1.2708,1.2708,1.2760,1.2760,-0.0052,-0.41,开放申购,开放赎回,0.15%,7.72,0.6,0.1,0.0,0.15
001557,THZZ500ZSZQC,股票指数,天弘中证500指数增强C,1.2485,1.2485,1.2536,1.2536,-0.0051,-0.41,开放申购,开放赎回,0.00%,3.25,0.6,0.1,0.3,0.00
002311,CJHXZZ500ZSZQA,股票指数,创金合信中证500指数增强A,1.3833,1.3833,1.3979,1.3979,-0.0146,-1.04,开放申购,开放赎回,0.15%,4.79,0.8,0.1,0.0,0.15
002316,CJHXZZ500ZSZQC,股票指数,创金合信中证500指数增强C,1.3850,1.3850,1.3997,1.3997,-0.0147,-1.05,开放申购,开放赎回,0.00%,4.37,0.8,0.1,0.1,0.00
002510,SWLXZZ500ZSZQA,股票指数,申万菱信中证500指数增强A,1.6366,1.6366,1.6605,1.6605,-0.0239,-1.44,开放申购,开放赎回,0.12%,5.18,1.0,0.2,0.1,0.12
002900,NFZZ500XXJSLJA,联接基金,南方中证500信息技术联接A,1.1690,1.1690,1.1681,1.1681,0.0009,0.08,开放申购,开放赎回,0.12%,4.44,0.5,0.1,0.0,0.12
002903,GFZZ500ETFLJC,联接基金,广发中证500ETF联接C,1.1392,1.1392,1.1466,1.1466,-0.0074,-0.65,开放申购,开放赎回,0.00%,9.92,0.5,0.1,0.2,0.00
002906,NFZZ500LHZQA,股票指数,南方中证500量化增强A,1.3650,1.3650,1.3840,1.3840,-0.0190,-1.37,开放申购,开放赎回,0.15%,4.35,1.0,0.2,0.0,0.15
002907,NFZZ500LHZQC,股票指数,南方中证500量化增强C,1.35,1.35,1.3690,1.3690,-0.0190,-1.39,开放申购,开放赎回,0.00%,1.66,1.0,0.2,0.4,0.00
003016,ZJZZ500A,股票指数,中金中证500A,1.5782,1.5782,1.5926,1.5926,-0.0144,-0.90,开放申购,开放赎回,0.10%,1.19,0.5,0.15,0.0,0.10
003318,JSZZ500HYZXDBD,股票指数,景顺中证500行业中性低波动,1.1724,1.1724,1.1792,1.1792,-0.0068,-0.58,开放申购,开放赎回,0.12%,15.81,0.5,0.1,0.0,0.12
003578,ZJZZ500C,股票指数,中金中证500C,1.5742,1.5742,1.5886,1.5886,-0.0144,-0.91,开放申购,开放赎回,0.00%,1.08,0.5,0.15,0.4,0.00
