基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
000003,ZHKZZZQA,债券型,中海可转债债券A,0.9590,1.1690,0.9640,1.1740,-0.0050,-0.52,开放申购,开放赎回,0.08%,1.3,0.75,0.2,0.0,0.08
000004,ZHKZZZQC,债券型,中海可转债债券C,0.9560,1.1660,0.9610,1.1710,-0.0050,-0.52,开放申购,开放赎回,0.00%,0.95,0.75,0.2,0.4,0.00
000014,HXJLZQ,债券型,华夏聚利债券,1.7240,1.7240,1.7320,1.7320,-0.0080,-0.46,开放申购,开放赎回,0.06%,6.44,0.7,0.2,0.0,0.06
000015,HXCZZQA,债券型,华夏纯债债券A,1.2070,1.3770,1.2060,1.3760,0.0010,0.08,开放申购,开放赎回,0.08%,36.39,0.3,0.2,0.0,0.08
000016,HXCZZQC,债券型,华夏纯债债券C,1.1740,1.3340,1.1730,1.3330,0.0010,0.09,开放申购,开放赎回,0.00%,5.1,0.3,0.2,0.4,0.00
000024,DMSLZQZQA,债券型,大摩双利增强债券A,1.1520,1.5540,1.1520,1.5540,0,0.00,开放申购,开放赎回,0.08%,26.03,0.75,0.2,0.0,0.08
000025,DMSLZQZQC,债券型,大摩双利增强债券C,1.14,1.5270,1.14,1.5270,0,0.00,开放申购,开放赎回,0.00%,7.65,0.75,0.2,0.4,0.00
000028,HFAXZQ,债券型,华富安鑫债券,1.1679,1.5459,1.1758,1.5538,-0.0079,-0.67,开放申购,开放赎回,0.08%,0.51,0.7,0.2,0.0,0.08
000032,YFDXYZZQA,债券型,易方达信用债债券A,1.1080,1.4230,1.1080,1.4230,0,0.00,开放申购,开放赎回,0.08%,42.23,0.7,0.2,0.0,0.08
000033,YFDXYZZQC,债券型,易方达信用债债券C,1.1030,1.3850,1.1030,1.3850,0,0.00,开放申购,开放赎回,0.00%,7.58,0.7,0.2,0.4,0.00
000045,GYCYZZQA,债券型,工银产业债债券A,1.5320,1.7830,1.5350,1.7860,-0.0030,-0.20,开放申购,开放赎回,0.08%,121.8,0.6,0.2,0.0,0.08
000046,GYCYZZQB,债券型,工银产业债债券B,1.5030,1.7320,1.5060,1.7350,-0.0030,-0.20,开放申购,开放赎回,0.00%,2.69,0.6,0.2,0.4,0.00
000047,HXSZZQA,债券型,华夏双债债券A,1.5830,1.8850,1.5950,1.8970,-0.0120,-0.75,开放申购,开放赎回,0.08%,7.42,0.6,0.2,0.0,0.08
000048,HXSZZQC,债券型,华夏双债债券C,1.5580,1.85,1.57,1.8620,-0.0120,-0.76,开放申购,开放赎回,0.00%,1.94,0.6,0.2,0.3,0.00
000054,PHSZZLZQ,债券型,鹏华双债增利债券,1.3652,1.5922,1.3710,1.5980,-0.0058,-0.42,开放申购,开放赎回,0.08%,5.1,0.5,0.15,0.0,0.08
000069,GTRYZGDJZQA,债券型,国投瑞银中高等级债券A,1.1070,1.4960,1.1070,1.4960,0,0.00,开放申购,开放赎回,0.08%,0.59,0.6,0.2,0.0,0.08
000070,GTRYZGDJZQC,债券型,国投瑞银中高等级债券C,1.1040,1.4690,1.1030,1.4680,0.0010,0.09,开放申购,开放赎回,0.00%,0.91,0.6,0.2,0.3,0.00
000080,TZKZZZQZQA,债券型,天治可转债增强债券A,1.5370,1.5370,1.5380,1.5380,-0.0010,-0.07,开放申购,开放赎回,0.08%,0.38,0.7,0.2,0.0,0.08
000081,TZKZZZQZQC,债券型,天治可转债增强债券C,1.4940,1.4940,1.4960,1.4960,-0.0020,-0.13,开放申购,开放赎回,0.00%,0.74,0.7,0.2,0.4,0.00
000089,MSJYGDJXYZC,债券型,民生加银高等级信用债C,1.0155,1.0155,1.0154,1.0154,0.0001,0.01,开放申购,开放赎回,0.00%,12.06,0.3,0.1,0.25,0.00
000090,MSJYGDJXYZA,债券型,民生加银高等级信用债A,1.0166,1.0166,1.0165,1.0165,0.0001,0.01,开放申购,开放赎回,0.06%,1.39,0.3,0.1,0.0,0.06
000103,GTZGQYJWGSYZ,QDII,国泰中国企业境外高收益债,,,1.3590,1.3590,,,开放申购,开放赎回,0.08%,0.62,1.1,0.28,0.0,0.08
000104,HCWLWJTLZQA,债券型,华宸未来稳健添利债券A,1.1334,1.3434,1.1321,1.3421,0.0013,0.11,开放申购,开放赎回,0.08%,0.01,0.4,0.2,0.0,0.08
000107,FGWJZQZQAB,债券型,富国稳健增强债券A/B,1.2140,1.5370,1.2150,1.5380,-0.0010,-0.08,开放申购,开放赎回,0.08%,14.51,0.5,0.2,0.0,0.08
000109,FGWJZQZQC,债券型,富国稳健增强债券C,1.1920,1.4980,1.1920,1.4980,0,0.00,开放申购,开放赎回,0.00%,0.73,0.5,0.2,0.4,0.00
000122,HTFSYZZQA,债券型,汇添富实业债债券A,1.2330,1.5070,1.2330,1.5070,0,0.00,开放申购,开放赎回,0.10%,3.75,0.3,0.1,0.0,0.10
000123,HTFSYZZQC,债券型,汇添富实业债债券C,1.1890,1.4630,1.1890,1.4630,0,0.00,开放申购,开放赎回,0.00%,0.58,0.3,0.1,0.4,0.00
000128,DCJADRZQA,债券型,大成景安短融债券A,1.2832,1.3882,1.2827,1.3877,0.0005,0.04,开放申购,开放赎回,0.00%,35.28,0.4,0.14,0.3,0.00
000129,DCJADRZQB,债券型,大成景安短融债券B,1.3149,1.4199,1.3143,1.4193,0.0006,0.05,开放申购,开放赎回,0.00%,29.04,0.4,0.14,0.01,0.00
000130,DCJXXYZZQA,债券型,大成景兴信用债债券A,1.3387,1.6387,1.3397,1.6397,-0.0010,-0.07,开放申购,开放赎回,0.08%,0.42,0.7,0.2,0.0,0.08
000131,DCJXXYZZQC,债券型,大成景兴信用债债券C,1.2980,1.5980,1.2990,1.5990,-0.0010,-0.08,开放申购,开放赎回,0.00%,0.1,0.7,0.2,0.4,0.00
000142,RTZQSYZQA,债券型,融通增强收益债券A,1.2245,1.5358,1.2270,1.5389,-0.0025,-0.20,开放申购,开放赎回,0.08%,0.34,0.7,0.2,0.0,0.08
000143,PHSZJLZQ,债券型,鹏华双债加利债券,1.7451,1.7951,1.7493,1.7993,-0.0042,-0.24,开放申购,开放赎回,0.08%,2.61,0.5,0.15,0.0,0.08
000149,HASZTLZQA,债券型,华安双债添利债券A,1.3035,1.6235,1.3065,1.6265,-0.0030,-0.23,开放申购,开放赎回,0.08%,1.6,0.7,0.2,0.0,0.08
000150,HASZTLZQC,债券型,华安双债添利债券C,1.2726,1.5926,1.2756,1.5956,-0.0030,-0.24,开放申购,开放赎回,0.00%,0.5,0.7,0.2,0.35,0.00
000171,YFDYFHBZQ,债券型,易方达裕丰回报债券,2.0980,2.0980,2.1070,2.1070,-0.0090,-0.43,开放申购,开放赎回,0.10%,209.93,0.4,0.1,0.0,0.10
000174,HTFGXZZQA,债券型,汇添富高息债债券A,1.5860,1.6210,1.5860,1.6210,0,0.00,开放申购,开放赎回,0.10%,23.69,0.7,0.2,0.0,0.10
000175,HTFGXZZQC,债券型,汇添富高息债债券C,1.4940,1.5290,1.4940,1.5290,0,0.00,开放申购,开放赎回,0.00%,8.35,0.7,0.2,0.4,0.00
000181,JSCCSJJLZQA,债券型,景顺长城四季金利债券A,1.2330,1.4150,1.2340,1.4160,-0.0010,-0.08,开放申购,开放赎回,0.08%,0.03,0.4,0.2,0.0,0.08
000182,JSCCSJJLZQC,债券型,景顺长城四季金利债券C,1.2040,1.38,1.2050,1.3810,-0.0010,-0.08,开放申购,开放赎回,0.00%,0.02,0.4,0.2,0.4,0.00
000184,GYTFZQA,债券型,工银添福债券A,1.6520,1.7980,1.6540,1.80,-0.0020,-0.12,开放申购,开放赎回,0.08%,0.55,0.7,0.2,0.0,0.08
000185,GYTFZQB,债券型,工银添福债券B,1.6360,1.7810,1.6390,1.7840,-0.0030,-0.18,开放申购,开放赎回,0.00%,0.14,0.7,0.2,0.4,0.00
000186,HTBRJJHZQ,债券型,华泰柏瑞季季红债券,1.0419,1.4055,1.0410,1.4046,0.0009,0.09,开放申购,开放赎回,0.08%,27.3,0.35,0.1,0.0,0.08
000187,HTBRFSCZZQA,债券型,华泰柏瑞丰盛纯债债券A,1.0174,1.43,1.0167,1.4293,0.0007,0.07,开放申购,开放赎回,0.08%,10.31,0.3,0.15,0.0,0.08
000188,HTBRFSCZZQC,债券型,华泰柏瑞丰盛纯债债券C,1.0146,1.3961,1.0139,1.3954,0.0007,0.07,开放申购,开放赎回,0.00%,0.15,0.3,0.15,0.4,0.00
000189,YFDFHZQA,债券型,易方达丰华债券A,1.3215,1.4263,1.3279,1.4330,-0.0064,-0.48,开放申购,开放赎回,0.08%,24.2,0.8,0.2,0.0,0.08
000205,YFDTZJXYZZQA,债券型,易方达投资级信用债债券A,1.1270,1.4410,1.1270,1.4410,0,0.00,开放申购,开放赎回,0.08%,33.32,0.7,0.2,0.0,0.08
000206,YFDTZJXYZZQC,债券型,易方达投资级信用债债券C,1.1260,1.4240,1.1250,1.4230,0.0010,0.09,开放申购,开放赎回,0.00%,1.67,0.7,0.2,0.3,0.00
000290,PHQQGSYZQDII,QDII,鹏华全球高收益债(QDII),,,1.2077,1.5422,,,开放申购,开放赎回,0.08%,26.85,1.0,0.3,0.0,0.08
000297,PHKZZZQA,债券型,鹏华可转债债券A,1.4460,1.5030,1.4570,1.5140,-0.0110,-0.75,开放申购,开放赎回,0.08%,12.73,1.0,0.2,0.0,0.08
000298,ZHCZZQA,债券型,中海纯债债券A,1.1470,1.2870,1.1470,1.2870,0,0.00,开放申购,开放赎回,0.08%,0.01,0.7,0.2,0.0,0.08
000299,ZHCZZQC,债券型,中海纯债债券C,1.1170,1.2570,1.1180,1.2580,-0.0010,-0.09,开放申购,开放赎回,0.00%,0.04,0.7,0.2,0.4,0.00
000319,TDTLZQA,债券型,泰达淘利债券A,1.1412,1.4350,1.1405,1.4343,0.0007,0.06,开放申购,开放赎回,0.08%,0.05,0.6,0.2,0.0,0.08
000320,TDTLZQC,债券型,泰达淘利债券C,1.1241,1.4154,1.1235,1.4148,0.0006,0.05,开放申购,开放赎回,0.00%,0.03,0.6,0.2,0.25,0.00
000322,NYHLJHZQ,债券型,农银汇理金汇债券,1.0135,1.0135,1.0135,1.0135,0,0.00,开放申购,开放赎回,0.08%,1.11,0.27,0.08,0.0,0.08
000333,CCWGSYZQA,债券型,长城稳固收益债券A,1.3698,1.3898,1.3765,1.3965,-0.0067,-0.49,开放申购,开放赎回,0.08%,2.35,0.75,0.2,0.0,0.08
000334,CCWGSYZQC,债券型,长城稳固收益债券C,1.3391,1.3591,1.3457,1.3657,-0.0066,-0.49,开放申购,开放赎回,0.00%,0.55,0.75,0.2,0.4,0.00
000338,PHSZBLZQ,债券型,鹏华双债保利债券,1.27,1.5653,1.2715,1.5668,-0.0015,-0.12,开放申购,开放赎回,0.08%,44.35,0.5,0.1,0.0,0.08
000355,NFFYXYZQZQA,债券型,南方丰元信用增强债券A,1.2747,1.4688,1.2735,1.4676,0.0012,0.09,开放申购,开放赎回,0.08%,26.59,0.7,0.2,0.0,0.08
000356,NFFYXYZQZQC,债券型,南方丰元信用增强债券C,1.2490,1.4333,1.2479,1.4322,0.0011,0.09,开放申购,开放赎回,0.00%,2.7,0.7,0.2,0.4,0.00
000377,STMGSZZLZQA,债券型,上投摩根双债增利债券A,1.1230,1.5590,1.1220,1.5580,0.0010,0.09,开放申购,开放赎回,0.08%,0.12,0.7,0.2,0.0,0.08
000378,STMGSZZLZQC,债券型,上投摩根双债增利债券C,1.1180,1.53,1.1180,1.53,0,0.00,开放申购,开放赎回,0.00%,0.06,0.7,0.2,0.4,0.00
000385,JSCCJYSLZQA,债券型,景顺长城景颐双利债券A,1.5850,1.7450,1.59,1.75,-0.0050,-0.31,开放申购,开放赎回,0.08%,11.0,0.4,0.1,0.0,0.08
000386,JSCCJYSLZQC,债券型,景顺长城景颐双利债券C,1.5410,1.6970,1.5450,1.7010,-0.0040,-0.26,开放申购,开放赎回,0.00%,0.09,0.4,0.1,0.4,0.00
000394,RTTYDRZQA,债券型,融通通源短融债券A,1.0705,1.2815,1.0702,1.2812,0.0003,0.03,开放申购,开放赎回,0.00%,1.98,0.3,0.1,0.3,0.00
000395,HTFAXZGZQA,债券型,汇添富安心中国债券A,1.2930,1.2930,1.2930,1.2930,0,0.00,开放申购,开放赎回,0.08%,1.87,0.7,0.2,0.0,0.08
000396,HTFAXZGZQC,债券型,汇添富安心中国债券C,1.30,1.30,1.30,1.30,0,0.00,开放申购,开放赎回,0.00%,0.36,0.7,0.2,0.4,0.00
000406,HTFSLZQZQA,债券型,汇添富双利增强债券A,1.2390,1.5720,1.2390,1.5720,0,0.00,开放申购,开放赎回,0.10%,5.46,0.4,0.1,0.0,0.10
000407,HTFSLZQZQC,债券型,汇添富双利增强债券C,1.2340,1.5670,1.2340,1.5670,0,0.00,开放申购,开放赎回,0.00%,0.91,0.4,0.1,0.4,0.00
000489,GDSMHLCZA,债券型,光大岁末红利纯债A,1.0449,1.2574,1.0451,1.2576,-0.0002,-0.02,开放申购,开放赎回,0.08%,10.09,0.6,0.2,0.0,0.08
000490,GDSMHLCZC,债券型,光大岁末红利纯债C,1.0444,1.2306,1.0446,1.2308,-0.0002,-0.02,开放申购,开放赎回,0.00%,0.01,0.6,0.2,0.4,0.00
000501,HFHF18GYDKZC,定开债券,华富恒富18个月定开债C,1.0695,1.3995,1.0702,1.4002,-0.0007,-0.07,开放申购,开放赎回,0.00%,0.12,0.6,0.1,0.4,0.00
000502,HFHF18GYDKZA,定开债券,华富恒富18个月定开债A,1.0866,1.5166,1.0873,1.5173,-0.0007,-0.06,开放申购,开放赎回,0.08%,2.49,0.6,0.1,0.0,0.08
000503,ZXJTJHZDZA,债券型,中信建投景和中短债A,1.1355,1.2945,1.1349,1.2939,0.0006,0.05,开放申购,开放赎回,0.03%,5.54,0.3,0.1,0.0,0.03
000504,ZXJTJHZDZC,债券型,中信建投景和中短债C,1.1040,1.2630,1.1035,1.2625,0.0005,0.05,开放申购,开放赎回,0.00%,0.04,0.3,0.1,0.4,0.00
000536,QHKYKZZZQ,债券型,前海开源可转债债券,1.10,1.47,1.1060,1.4760,-0.0060,-0.54,开放申购,开放赎回,0.08%,0.75,1.0,0.2,0.0,0.08
000561,NFQYZQA,债券型,南方启元债券A,1.1330,1.2530,1.1330,1.2530,0,0.00,开放申购,开放赎回,0.08%,14.55,0.3,0.1,0.0,0.08
000562,NFQYZQC,债券型,南方启元债券C,1.1490,1.2260,1.1480,1.2250,0.0010,0.09,开放申购,开放赎回,0.00%,1.21,0.3,0.1,0.4,0.00
000578,XYHXSYZQZQXFQSA,债券型,鑫元恒鑫收益增强债券型发起式A,0.9975,1.0775,1.0026,1.0826,-0.0051,-0.51,开放申购,开放赎回,0.06%,0.22,0.7,0.2,0.0,0.06
000579,XYHXSYZQZQXFQSC,债券型,鑫元恒鑫收益增强债券型发起式C,0.9719,1.0519,0.9769,1.0569,-0.0050,-0.51,开放申购,开放赎回,0.00%,0.04,0.7,0.2,0.4,0.00
000606,THYXZQ,债券型,天弘优选债券,1.0288,1.1428,1.0278,1.1418,0.0010,0.10,开放申购,开放赎回,0.06%,126.76,0.4,0.1,0.0,0.06
000655,XYWLZQ,债券型,鑫元稳利债券,1.0891,1.3224,1.0889,1.3222,0.0002,0.02,开放申购,开放赎回,0.06%,5.24,0.3,0.1,0.0,0.06
000668,GSABZXZQA,债券型,国寿安保尊享债券A,1.1730,1.4650,1.1720,1.4640,0.0010,0.09,开放申购,开放赎回,0.08%,10.9,0.7,0.2,0.0,0.08
000669,GSABZXZQC,债券型,国寿安保尊享债券C,1.17,1.4640,1.17,1.4640,0,0.00,开放申购,开放赎回,0.00%,0.64,0.7,0.2,0.4,0.00
000673,RTSJTLZQLOFC,债券型,融通四季添利债券(LOF)C,1.0250,1.0360,1.0240,1.0350,0.0010,0.10,开放申购,开放赎回,0.00%,0.0,0.6,0.2,0.3,0.00
000674,ZHZDZZQ,债券型,中海中短债债券,0.8808,1.1175,0.8806,1.1173,0.0002,0.02,开放申购,开放赎回,0.04%,7.07,0.3,0.1,0.0,0.04
000692,HTFSLZQC,债券型,汇添富双利债券C,1.8070,1.8070,1.8130,1.8130,-0.0060,-0.33,开放申购,开放赎回,0.00%,7.56,0.7,0.2,0.4,0.00
000694,XYHLZQ,债券型,鑫元鸿利债券,1.3373,1.3873,1.3368,1.3868,0.0005,0.04,开放申购,开放赎回,0.06%,5.44,0.6,0.2,0.0,0.06
000736,NAJLZQA,债券型,诺安聚利债券A,1.2334,1.2974,1.2331,1.2971,0.0003,0.02,开放申购,开放赎回,0.08%,0.09,0.7,0.2,0.0,0.08
000737,NAJLZQC,债券型,诺安聚利债券C,1.2062,1.2642,1.2059,1.2639,0.0003,0.02,开放申购,开放赎回,0.00%,0.05,0.7,0.2,0.4,0.00
000801,ZJCZA,债券型,中金纯债A,1.1440,1.2560,1.1440,1.2560,0,0.00,开放申购,开放赎回,0.08%,0.96,0.7,0.2,0.0,0.08
000802,ZJCZC,债券型,中金纯债C,1.1220,1.2240,1.1220,1.2240,0,0.00,开放申购,开放赎回,0.00%,0.13,0.7,0.2,0.4,0.00
000810,FGSYZQZQA,债券型,富国收益增强债券A,1.5340,1.6540,1.5440,1.6640,-0.01,-0.65,开放申购,开放赎回,0.08%,7.15,0.7,0.2,0.0,0.08
000812,FGSYZQZQC,债券型,富国收益增强债券C,1.4910,1.6110,1.5010,1.6210,-0.01,-0.67,开放申购,开放赎回,0.00%,1.62,0.7,0.2,0.4,0.00
000814,XYHXCZC,债券型,鑫元合享纯债C,1.0486,1.2635,1.0475,1.2621,0.0011,0.11,开放申购,开放赎回,0.00%,0.01,0.3,0.1,0.1,0.00
000833,YFDFHCZC,债券型,易方达富华纯债C,1.0020,1.0020,1.0020,1.0020,0,0.00,开放申购,开放赎回,0.00%,0.36,0.3,0.1,0.4,0.00
000839,STMGCZFLZQA,债券型,上投摩根纯债丰利债券A,1.0140,1.1830,1.0129,1.1819,0.0011,0.11,开放申购,开放赎回,0.08%,6.41,0.3,0.1,0.0,0.08
000840,STMGCZFLZQC,债券型,上投摩根纯债丰利债券C,1.0130,1.1710,1.0119,1.1699,0.0011,0.11,开放申购,开放赎回,0.00%,0.01,0.3,0.1,0.1,0.00
000896,XYJXSYZQZA,债券型,鑫元聚鑫收益增强债A,1.0514,1.1114,1.0470,1.1070,0.0044,0.42,开放申购,开放赎回,0.06%,0.14,0.7,0.2,0.0,0.06
000897,XYJXSYZQZC,债券型,鑫元聚鑫收益增强债C,1.0257,1.0857,1.0214,1.0814,0.0043,0.42,开放申购,开放赎回,0.00%,0.03,0.7,0.2,0.4,0.00
000898,HFHWCZZQA,债券型,华富恒稳纯债债券A,1.1689,1.2689,1.1682,1.2682,0.0007,0.06,开放申购,开放赎回,0.08%,13.85,0.3,0.1,0.0,0.08
000899,HFHWCZZQC,债券型,华富恒稳纯债债券C,1.1356,1.2356,1.1348,1.2348,0.0008,0.07,开放申购,开放赎回,0.00%,0.01,0.3,0.1,0.4,0.00
000910,XYHFCZC,债券型,鑫元合丰纯债C,1.0283,1.2463,1.0272,1.2451,0.0011,0.11,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.1,0.00
000911,XYHFCZA,债券型,鑫元合丰纯债A,1.0320,1.3508,1.0309,1.3495,0.0011,0.11,开放申购,开放赎回,0.04%,4.46,0.3,0.1,0.0,0.04
000914,ZJCZZQ,债券型,中加纯债债券,1.0418,1.4486,1.0411,1.4477,0.0007,0.07,开放申购,开放赎回,0.06%,18.54,0.4,0.1,0.0,0.06
001011,HXXWZQA,债券型,华夏希望债券A,1.2430,1.7930,1.2450,1.7950,-0.0020,-0.16,开放申购,开放赎回,0.10%,12.63,0.7,0.2,0.0,0.10
001013,HXXWZQC,债券型,华夏希望债券C,1.2140,1.7440,1.2160,1.7460,-0.0020,-0.16,开放申购,开放赎回,0.00%,4.35,0.7,0.2,0.3,0.00
001021,HXYZZGZSA,债券指数,华夏亚债中国指数A,1.1920,1.4040,1.19,1.4020,0.0020,0.17,开放申购,开放赎回,0.08%,77.26,0.13,0.05,0.0,0.08
001023,HXYZZGZSC,债券指数,华夏亚债中国指数C,1.1460,1.3560,1.1440,1.3540,0.0020,0.17,开放申购,开放赎回,0.00%,0.36,0.13,0.05,0.4,0.00
001031,HXAKZQA,债券型,华夏安康债券A,1.5880,1.7480,1.5970,1.7570,-0.0090,-0.56,开放申购,开放赎回,0.08%,1.55,0.6,0.2,0.0,0.08
001033,HXAKZQC,债券型,华夏安康债券C,1.5460,1.7060,1.5550,1.7150,-0.0090,-0.58,开放申购,开放赎回,0.00%,0.8,0.6,0.2,0.3,0.00
001045,HXKZZZQZQA,债券型,华夏可转债增强债券A,1.7050,1.7050,1.7120,1.7120,-0.0070,-0.41,开放申购,开放赎回,0.08%,4.72,0.7,0.2,0.0,0.08
001086,HFHLZQA,债券型,华富恒利债券A,1.1590,1.2030,1.1580,1.2020,0.0010,0.09,开放申购,开放赎回,0.08%,5.07,0.6,0.2,0.0,0.08
001087,HFHLZQC,债券型,华富恒利债券C,1.13,1.1510,1.13,1.1510,0,0.00,开放申购,开放赎回,0.00%,0.0,0.6,0.2,0.4,0.00
001124,RTZQSYZQC,债券型,融通增强收益债券C,1.1746,1.4568,1.1770,1.4598,-0.0024,-0.20,开放申购,开放赎回,0.00%,0.11,0.7,0.2,0.35,0.00
001199,CJHXJLZQA,债券型,创金合信聚利债券A,1.1949,1.1949,1.1945,1.1945,0.0004,0.03,开放申购,开放赎回,0.08%,0.06,0.7,0.2,0.0,0.08
001200,CJHXJLZQC,债券型,创金合信聚利债券C,1.1666,1.1666,1.1662,1.1662,0.0004,0.03,开放申购,开放赎回,0.00%,0.02,0.7,0.2,0.4,0.00
001212,HRYDWJZQA,债券型,华润元大稳健债券A,1.0470,1.0740,1.0460,1.0730,0.0010,0.10,开放申购,开放赎回,0.08%,0.03,0.7,0.2,0.0,0.08
001213,HRYDWJZQC,债券型,华润元大稳健债券C,1.0350,1.0550,1.0350,1.0550,0,0.00,开放申购,开放赎回,0.00%,0.04,0.7,0.2,0.4,0.00
001235,ZYGYQYZA,债券型,中银国有企业债A,1.0470,1.2310,1.0460,1.23,0.0010,0.10,开放申购,开放赎回,0.08%,11.27,0.3,0.1,0.0,0.08
