基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
000586,JSCCZXBCYBJXGP,股票型,景顺长城中小板创业板精选股票,2.3910,2.3910,2.4280,2.4280,-0.0370,-1.52,开放申购,开放赎回,0.15%,4.55,1.5,0.25,0.0,0.15
001592,THCYBETFLJJJA,联接基金,天弘创业板ETF联接基金A,1.2273,1.2273,1.2459,1.2459,-0.0186,-1.49,开放申购,开放赎回,0.10%,10.73,0.5,0.1,0.0,0.10
001593,THCYBETFLJJJC,联接基金,天弘创业板ETF联接基金C,1.2090,1.2090,1.2274,1.2274,-0.0184,-1.50,开放申购,开放赎回,0.00%,26.97,0.5,0.1,0.2,0.00
001879,CCCYBZSZQA,股票指数,长城创业板指数增强A,2.4657,2.4657,2.4986,2.4986,-0.0329,-1.32,开放申购,开放赎回,0.15%,6.58,1.0,0.15,0.0,0.15
002656,NFCYBETFLJA,联接基金,南方创业板ETF联接A,1.5182,1.5182,1.5413,1.5413,-0.0231,-1.50,开放申购,开放赎回,0.12%,17.04,0.15,0.05,0.0,0.12
003069,GDCYBLHYXA,股票型,光大创业板量化优选A,1.6193,1.6193,1.6246,1.6246,-0.0053,-0.33,开放申购,开放赎回,0.15%,0.97,1.5,0.25,0.0,0.15
003070,GDCYBLHYXC,股票型,光大创业板量化优选C,1.4859,1.4859,1.4908,1.4908,-0.0049,-0.33,开放申购,开放赎回,0.00%,0.0,1.5,0.25,0.4,0.00
003765,GFCYBETFLJA,联接基金,广发创业板ETF联接A,1.6749,1.6749,1.7006,1.7006,-0.0257,-1.51,开放申购,开放赎回,0.12%,3.68,0.15,0.05,0.0,0.12
003766,GFCYBETFLJC,联接基金,广发创业板ETF联接C,1.6724,1.6724,1.6981,1.6981,-0.0257,-1.51,开放申购,开放赎回,0.00%,10.18,0.15,0.05,0.2,0.00
004343,NFCYBETFLJC,联接基金,南方创业板ETF联接C,1.5259,1.5259,1.5492,1.5492,-0.0233,-1.50,开放申购,开放赎回,0.00%,6.96,0.15,0.05,0.4,0.00
004744,YFDCYBETFLJC,联接基金,易方达创业板ETF联接C,3.0965,3.0965,3.1433,3.1433,-0.0468,-1.49,开放申购,开放赎回,0.00%,10.59,0.5,0.1,0.25,0.00
005287,HFTCYBZQC,股票指数,海富通创业板增强C,1.8629,1.8629,1.8858,1.8858,-0.0229,-1.21,开放申购,开放赎回,0.00%,0.53,1.2,0.2,0.4,0.00
005288,HFTCYBZQA,股票指数,海富通创业板增强A,1.8818,1.8818,1.9050,1.9050,-0.0232,-1.22,开放申购,开放赎回,0.15%,0.47,1.2,0.2,0.0,0.15
005390,GYCYBETFLJA,联接基金,工银创业板ETF联接A,1.6764,1.6764,1.7017,1.7017,-0.0253,-1.49,开放申购,开放赎回,0.10%,0.33,0.5,0.1,0.0,0.10
005391,GYCYBETFLJC,联接基金,工银创业板ETF联接C,1.6511,1.6511,1.6761,1.6761,-0.0250,-1.49,开放申购,开放赎回,0.00%,1.34,0.5,0.1,0.35,0.00
005873,JXCYBETFLJA,联接基金,建信创业板ETF联接A,1.9082,1.9082,1.9368,1.9368,-0.0286,-1.48,开放申购,开放赎回,0.15%,0.37,0.5,0.1,0.0,0.15
005874,JXCYBETFLJC,联接基金,建信创业板ETF联接C,1.8982,1.8982,1.9266,1.9266,-0.0284,-1.47,开放申购,开放赎回,0.00%,0.18,0.5,0.1,0.4,0.00
006248,HXCYBETFLJA,联接基金,华夏创业板ETF联接A,2.1282,2.1282,2.1606,2.1606,-0.0324,-1.50,开放申购,开放赎回,0.12%,1.44,0.5,0.1,0.0,0.12
006249,HXCYBETFLJC,联接基金,华夏创业板ETF联接C,2.1130,2.1130,2.1451,2.1451,-0.0321,-1.50,开放申购,开放赎回,0.00%,1.1,0.5,0.1,0.3,0.00
006733,BSCYBETFLJC,联接基金,博时创业板ETF联接C,2.5422,2.5422,2.5807,2.5807,-0.0385,-1.49,开放申购,开放赎回,0.00%,0.85,0.5,0.1,0.4,0.00
006928,CCCYBZSZQC,股票指数,长城创业板指数增强C,2.4377,2.4377,2.4702,2.4702,-0.0325,-1.32,开放申购,开放赎回,0.00%,4.77,1.0,0.15,0.3,0.00
007464,JYCYB50ZSA,股票指数,交银创业板50指数A,2.0342,2.0342,2.0598,2.0598,-0.0256,-1.24,开放申购,开放赎回,0.12%,7.44,0.5,0.15,0.0,0.12
007465,JYCYB50ZSC,股票指数,交银创业板50指数C,2.0251,2.0251,2.0507,2.0507,-0.0256,-1.25,开放申购,开放赎回,0.00%,3.45,0.5,0.15,0.4,0.00
007664,YYCYBZSFQSA,股票指数,永赢创业板指数发起式A,1.8697,1.8697,1.8977,1.8977,-0.0280,-1.48,开放申购,开放赎回,0.10%,0.89,0.15,0.05,0.0,0.10
