基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
000051,HXHS300ETFLJA,联接基金,华夏沪深300ETF联接A,1.8637,1.8637,1.8696,1.8696,-0.0059,-0.32,开放申购,开放赎回,0.12%,119.55,0.5,0.1,0.0,0.12
000176,JSHS300ZSYJZQ,股票指数,嘉实沪深300指数研究增强,2.0927,2.0927,2.1062,2.1062,-0.0135,-0.64,开放申购,开放赎回,0.10%,22.58,1.0,0.18,0.0,0.10
000311,JSCCHS300ZSZQ,股票指数,景顺长城沪深300指数增强,2.9730,3.3130,2.9850,3.3250,-0.0120,-0.40,开放申购,开放赎回,0.12%,67.49,1.0,0.2,0.0,0.12
000312,HAHS300ZQA,股票指数,华安沪深300增强A,2.6972,3.0572,2.7190,3.0790,-0.0218,-0.80,开放申购,开放赎回,0.12%,4.55,1.0,0.15,0.0,0.12
000313,HAHS300ZQC,股票指数,华安沪深300增强C,2.5817,2.9417,2.6025,2.9625,-0.0208,-0.80,开放申购,开放赎回,0.00%,4.55,1.0,0.15,0.4,0.00
000368,HTFHS300AZZS,股票指数,汇添富沪深300安中指数,2.5433,2.5433,2.5426,2.5426,0.0007,0.03,开放申购,开放赎回,0.12%,4.61,0.5,0.1,0.0,0.12
000512,GTHS300ZSZQA,股票指数,国泰沪深300指数增强A,1.7515,2.5529,1.7595,2.5609,-0.0080,-0.45,开放申购,开放赎回,0.10%,3.22,0.9,0.2,0.0,0.10
000613,GSABHS300ETFLJ,联接基金,国寿安保沪深300ETF联接,1.4329,2.1529,1.4375,2.1575,-0.0046,-0.32,开放申购,开放赎回,0.10%,53.83,0.5,0.1,0.0,0.10
000950,YFDHS300FYLJA,联接基金,易方达沪深300非银联接A,1.2017,1.2017,1.2187,1.2187,-0.0170,-1.39,开放申购,开放赎回,0.10%,15.71,0.5,0.1,0.0,0.10
000961,THHS300ETFLJA,联接基金,天弘沪深300ETF联接A,1.7382,1.7382,1.7436,1.7436,-0.0054,-0.31,开放申购,开放赎回,0.10%,26.84,0.5,0.1,0.0,0.10
001015,HXHS300ZSZQA,股票指数,华夏沪深300指数增强A,2.1870,2.1870,2.1940,2.1940,-0.0070,-0.32,开放申购,开放赎回,0.12%,8.35,1.0,0.2,0.0,0.12
001016,HXHS300ZSZQC,股票指数,华夏沪深300指数增强C,2.1230,2.1230,2.1290,2.1290,-0.0060,-0.28,开放申购,开放赎回,0.00%,4.03,1.0,0.2,0.5,0.00
001344,YFDHS300YYLJA,联接基金,易方达沪深300医药联接A,1.8388,1.8388,1.8691,1.8691,-0.0303,-1.62,开放申购,开放赎回,0.10%,2.53,0.5,0.1,0.0,0.10
002063,GTHS300ZSZQC,股票指数,国泰沪深300指数增强C,1.7205,2.5204,1.7283,2.5282,-0.0078,-0.45,开放申购,开放赎回,0.00%,1.65,0.9,0.2,0.1,0.00
002310,CJHXHS300ZSZQA,股票指数,创金合信沪深300指数增强A,1.7730,1.9110,1.7842,1.9222,-0.0112,-0.63,开放申购,开放赎回,0.15%,3.11,0.8,0.1,0.0,0.15
002315,CJHXHS300ZSZQC,股票指数,创金合信沪深300指数增强C,1.7725,1.9175,1.7837,1.9287,-0.0112,-0.63,开放申购,开放赎回,0.00%,4.33,0.8,0.1,0.1,0.00
002670,WJHS300ZSZQA,股票指数,万家沪深300指数增强A,1.6061,1.7641,1.6180,1.7760,-0.0119,-0.74,开放申购,开放赎回,0.10%,6.34,1.0,0.12,0.0,0.10
002671,WJHS300ZSZQC,股票指数,万家沪深300指数增强C,2.0227,2.2227,2.0378,2.2378,-0.0151,-0.74,开放申购,开放赎回,0.00%,2.51,1.0,0.12,0.4,0.00
002987,GFHS300ETFLJC,联接基金,广发沪深300ETF联接C,2.6141,2.6141,2.6220,2.6220,-0.0079,-0.30,开放申购,开放赎回,0.00%,7.36,0.5,0.1,0.2,0.00
003015,ZJHS300A,股票指数,中金沪深300A,2.0637,2.0637,2.0774,2.0774,-0.0137,-0.66,开放申购,开放赎回,0.10%,1.87,0.5,0.15,0.0,0.10
003475,QHLHHS300ZSA,股票指数,前海联合沪深300指数A,1.8342,1.8342,1.8395,1.8395,-0.0053,-0.29,开放申购,开放赎回,0.12%,0.09,0.65,0.15,0.0,0.12
003548,TDHLHS300ZSZQC,股票指数,泰达宏利沪深300指数增强C,2.4673,2.4673,2.4869,2.4869,-0.0196,-0.79,开放申购,开放赎回,0.00%,2.11,0.65,0.12,0.3,0.00
003579,ZJHS300C,股票指数,中金沪深300C,2.1048,2.1048,2.1189,2.1189,-0.0141,-0.67,开放申购,开放赎回,0.00%,2.08,0.5,0.15,0.4,0.00
003876,HBHS300ZSZQA,股票指数,华宝沪深300指数增强A,2.2761,2.2761,2.2897,2.2897,-0.0136,-0.59,开放申购,开放赎回,0.12%,6.02,1.0,0.15,0.0,0.12
003884,HAHS300ZSZQA,股票指数,汇安沪深300指数增强A,2.0143,2.0143,2.0241,2.0241,-0.0098,-0.48,开放申购,开放赎回,0.12%,1.93,1.0,0.1,0.0,0.12
003885,HAHS300ZSZQC,股票指数,汇安沪深300指数增强C,1.8647,1.8647,1.8738,1.8738,-0.0091,-0.49,开放申购,开放赎回,0.00%,3.44,1.0,0.1,0.4,0.00
003957,AXLHJXHS300ZQA,股票指数,安信量化精选沪深300增强A,2.0091,2.0091,2.0196,2.0196,-0.0105,-0.52,开放申购,开放赎回,0.08%,0.68,0.8,0.1,0.0,0.08
003958,AXLHJXHS300ZQC,股票指数,安信量化精选沪深300增强C,1.9862,1.9862,1.9966,1.9966,-0.0104,-0.52,开放申购,开放赎回,0.00%,3.37,0.8,0.1,0.2,0.00
004190,ZSHS300ZSZQA,股票指数,招商沪深300指数增强A,1.9369,1.9369,1.9457,1.9457,-0.0088,-0.45,开放申购,开放赎回,0.12%,3.51,1.2,0.15,0.0,0.12
004191,ZSHS300ZSZQC,股票指数,招商沪深300指数增强C,1.9119,1.9119,1.9206,1.9206,-0.0087,-0.45,开放申购,开放赎回,0.00%,3.79,1.2,0.15,0.4,0.00
004342,NFHS300LJJJC,联接基金,南方沪深300联接基金C,2.2217,2.3817,2.2290,2.3890,-0.0073,-0.33,开放申购,开放赎回,0.00%,0.67,0.5,0.1,0.4,0.00
004512,HFTHS300ZSZQC,股票指数,海富通沪深300指数增强C,1.6672,1.7102,1.6751,1.7181,-0.0079,-0.47,开放申购,开放赎回,0.00%,2.27,0.8,0.18,0.1,0.00
004513,HFTHS300ZSZQA,股票指数,海富通沪深300指数增强A,1.6041,1.6341,1.6117,1.6417,-0.0076,-0.47,开放申购,开放赎回,0.10%,0.75,0.8,0.18,0.0,0.10
005102,GYHS300ETFLJA,联接基金,工银沪深300ETF联接A,1.3731,1.3731,1.3777,1.3777,-0.0046,-0.33,开放申购,开放赎回,0.10%,2.17,0.45,0.1,0.0,0.10
005103,GYHS300ETFLJC,联接基金,工银沪深300ETF联接C,1.3670,1.3670,1.3717,1.3717,-0.0047,-0.34,开放申购,开放赎回,0.00%,0.07,0.45,0.1,0.25,0.00
005152,NYHS300ZSC,股票指数,农银沪深300指数C,1.9291,1.9291,1.9354,1.9354,-0.0063,-0.33,开放申购,开放赎回,0.00%,0.01,0.6,0.15,0.4,0.00
005248,XHHS300ZSZQA,股票指数,新华沪深300指数增强A,1.4898,1.4898,1.4931,1.4931,-0.0033,-0.22,开放申购,开放赎回,0.15%,1.37,1.0,0.15,0.0,0.15
005530,HTFHS300ZSZQA,股票指数,汇添富沪深300指数增强A,1.8529,1.8529,1.8663,1.8663,-0.0134,-0.72,开放申购,开放赎回,0.15%,2.92,0.8,0.2,0.0,0.15
005658,HXHS300ETFLJC,联接基金,华夏沪深300ETF联接C,1.8461,1.8461,1.8519,1.8519,-0.0058,-0.31,开放申购,开放赎回,0.00%,4.25,0.5,0.1,0.3,0.00
005870,PHHS300ZSZQ,股票指数,鹏华沪深300指数增强,1.5259,1.5259,1.5308,1.5308,-0.0049,-0.32,开放申购,开放赎回,0.12%,3.11,1.0,0.15,0.0,0.12
005918,THHS300ETFLJC,联接基金,天弘沪深300ETF联接C,1.5372,1.5372,1.5420,1.5420,-0.0048,-0.31,开放申购,开放赎回,0.00%,37.01,0.5,0.1,0.2,0.00
006020,GFHS300ZSZQA,股票指数,广发沪深300指数增强A,2.0379,2.0379,2.0468,2.0468,-0.0089,-0.43,开放申购,开放赎回,0.15%,9.96,1.0,0.25,0.0,0.15
006021,GFHS300ZSZQC,股票指数,广发沪深300指数增强C,2.0199,2.0199,2.0287,2.0287,-0.0088,-0.43,开放申购,开放赎回,0.00%,5.05,1.0,0.25,0.4,0.00
006131,HTBRHS300ETFLJC,联接基金,华泰柏瑞沪深300ETF联接C,1.5361,2.1021,1.5410,2.1070,-0.0049,-0.32,开放申购,开放赎回,0.00%,17.58,0.5,0.1,0.25,0.00
006600,RBHS300ZS,股票指数,人保沪深300指数,1.6845,1.6845,1.6904,1.6904,-0.0059,-0.35,开放申购,开放赎回,0.06%,3.42,0.45,0.1,0.0,0.06
006912,CCJTHS300ZSC,股票指数,长城久泰沪深300指数C,2.3009,2.5499,2.3079,2.5569,-0.0070,-0.30,开放申购,开放赎回,0.00%,0.7,0.98,0.2,0.3,0.00
006937,GYHS300ZSC,股票指数,工银沪深300指数C,1.4333,1.5317,1.4379,1.5363,-0.0046,-0.32,开放申购,开放赎回,0.00%,3.55,0.5,0.1,0.4,0.00
006939,PHHS300ZSLOFC,股票指数,鹏华沪深300指数(LOF)C,1.9760,1.9760,1.9830,1.9830,-0.0070,-0.35,开放申购,开放赎回,0.00%,0.89,0.75,0.15,0.2,0.00
007039,QHLHHS300ZSC,股票指数,前海联合沪深300指数C,1.8212,1.8212,1.8266,1.8266,-0.0054,-0.30,开放申购,开放赎回,0.00%,0.11,0.65,0.15,0.4,0.00
007044,BDHS300ZSZQA,股票指数,博道沪深300指数增强A,1.7289,1.7289,1.7402,1.7402,-0.0113,-0.65,开放申购,开放赎回,0.12%,2.52,0.75,0.1,0.0,0.12
007045,BDHS300ZSZQC,股票指数,博道沪深300指数增强C,1.7172,1.7172,1.7284,1.7284,-0.0112,-0.65,开放申购,开放赎回,0.00%,4.85,0.75,0.1,0.4,0.00
007143,GTRYHS300LHA,股票指数,国投瑞银沪深300量化A,1.6229,1.6229,1.6230,1.6230,-0.0001,-0.01,开放申购,开放赎回,0.12%,2.16,1.0,0.15,0.0,0.12
007144,GTRYHS300LHC,股票指数,国投瑞银沪深300量化C,1.6121,1.6121,1.6123,1.6123,-0.0002,-0.01,开放申购,开放赎回,0.00%,0.27,1.0,0.15,0.4,0.00
007275,YHHS300ZSZQA,股票指数,银河沪深300指数增强A,1.6102,1.6102,1.6161,1.6161,-0.0059,-0.37,开放申购,开放赎回,0.15%,1.12,1.0,0.2,0.0,0.15
007276,YHHS300ZSZQC,股票指数,银河沪深300指数增强C,1.5986,1.5986,1.6046,1.6046,-0.0060,-0.37,开放申购,开放赎回,0.00%,0.97,1.0,0.2,0.5,0.00
007339,YFDHS300ETFLJC,联接基金,易方达沪深300ETF联接C,1.9622,1.9622,1.9682,1.9682,-0.0060,-0.30,开放申购,开放赎回,0.00%,5.38,0.15,0.05,0.2,0.00
007404,HBHS300ZSZQC,股票指数,华宝沪深300指数增强C,2.2621,2.2621,2.2756,2.2756,-0.0135,-0.59,开放申购,开放赎回,0.00%,1.11,1.0,0.15,0.4,0.00
007605,JSHS300HLDBDETFLJA,联接基金,嘉实沪深300红利低波动ETF联接A,1.0683,1.0683,1.0548,1.0548,0.0135,1.28,开放申购,开放赎回,0.12%,0.2,0.5,0.1,0.0,0.12
007606,JSHS300HLDBDETFLJC,联接基金,嘉实沪深300红利低波动ETF联接C,1.0635,1.0635,1.05,1.05,0.0135,1.29,开放申购,开放赎回,0.00%,0.09,0.5,0.1,0.4,0.00
007800,SWLXHS300JZZSC,股票指数,申万菱信沪深300价值指数C,1.2030,1.2030,1.1946,1.1946,0.0084,0.70,开放申购,开放赎回,0.00%,0.09,0.65,0.15,0.3,0.00
007804,SWLXHS300ZSZQC,股票指数,申万菱信沪深300指数增强C,1.6619,1.6619,1.6614,1.6614,0.0005,0.03,开放申购,开放赎回,0.00%,2.05,1.0,0.18,0.4,0.00
007882,YFDHS300FYLJC,联接基金,易方达沪深300非银联接C,1.1998,1.1998,1.2169,1.2169,-0.0171,-1.41,开放申购,开放赎回,0.00%,4.79,0.5,0.1,0.1,0.00
007883,YFDHS300YYLJC,联接基金,易方达沪深300医药联接C,1.8359,1.8359,1.8662,1.8662,-0.0303,-1.62,开放申购,开放赎回,0.00%,1.34,0.5,0.1,0.1,0.00
008184,XHHS300ZSZQC,股票指数,新华沪深300指数增强C,1.4851,1.4851,1.4884,1.4884,-0.0033,-0.22,开放申购,开放赎回,0.00%,1.51,1.0,0.15,0.3,0.00
008238,ZTHS300ZQA,股票指数,中泰沪深300增强A,1.6178,1.6178,1.6229,1.6229,-0.0051,-0.31,开放申购,开放赎回,0.10%,1.5,0.8,0.1,0.0,0.10
008239,ZTHS300ZQC,股票指数,中泰沪深300增强C,1.6128,1.6128,1.6179,1.6179,-0.0051,-0.32,开放申购,开放赎回,0.00%,2.95,0.8,0.1,0.4,0.00
008390,GLAHS300ETFLJA,联接基金,国联安沪深300ETF联接A,1.4398,1.4398,1.4443,1.4443,-0.0045,-0.31,开放申购,开放赎回,0.08%,10.78,0.2,0.1,0.0,0.08
008391,GLAHS300ETFLJC,联接基金,国联安沪深300ETF联接C,1.4393,1.4393,1.4438,1.4438,-0.0045,-0.31,开放申购,开放赎回,0.00%,0.02,0.2,0.1,0.2,0.00
008592,THHS300ZSZQA,股票指数,天弘沪深300指数增强A,1.5249,1.5249,1.5238,1.5238,0.0011,0.07,开放申购,开放赎回,0.15%,1.89,0.6,0.1,0.0,0.15
008593,THHS300ZSZQC,股票指数,天弘沪深300指数增强C,1.5201,1.5201,1.5190,1.5190,0.0011,0.07,开放申购,开放赎回,0.00%,0.46,0.6,0.1,0.3,0.00
008776,HAHS300ETFLJA,联接基金,华安沪深300ETF联接A,1.1836,1.1836,1.1870,1.1870,-0.0034,-0.29,开放申购,开放赎回,0.05%,0.47,0.15,0.05,0.0,0.05
008777,HAHS300ETFLJC,联接基金,华安沪深300ETF联接C,1.1825,1.1825,1.1860,1.1860,-0.0035,-0.30,开放申购,开放赎回,0.00%,0.24,0.15,0.05,0.2,0.00
008926,TKHS300ETFLJA,联接基金,泰康沪深300ETF联接A,1.2634,1.2634,1.2673,1.2673,-0.0039,-0.31,开放申购,开放赎回,0.10%,0.73,0.4,0.05,0.0,0.10
008927,TKHS300ETFLJC,联接基金,泰康沪深300ETF联接C,1.2607,1.2607,1.2645,1.2645,-0.0038,-0.30,开放申购,开放赎回,0.00%,0.36,0.4,0.05,0.4,0.00
009059,NFHS300ZQA,股票指数,南方沪深300增强A,1.5889,1.5889,1.5935,1.5935,-0.0046,-0.29,开放申购,开放赎回,0.12%,2.91,0.5,0.1,0.0,0.12
009060,NFHS300ZQC,股票指数,南方沪深300增强C,1.5843,1.5843,1.5889,1.5889,-0.0046,-0.29,开放申购,开放赎回,0.00%,1.48,0.5,0.1,0.4,0.00
009208,JXHS300ZSZQLOFC,股票指数,建信沪深300指数增强(LOF)C,1.4467,1.4467,1.4580,1.4580,-0.0113,-0.78,开放申购,开放赎回,0.00%,1.43,1.0,0.2,0.4,0.00
010352,NAHS300ZSZQC,股票指数,诺安沪深300指数增强C,1.7736,1.7736,1.7772,1.7772,-0.0036,-0.20,开放申购,开放赎回,0.00%,0.0,1.0,0.15,0.4,0.00
010556,HTFHS300ZSZQC,股票指数,汇添富沪深300指数增强C,1.8519,1.8519,1.8653,1.8653,-0.0134,-0.72,开放申购,开放赎回,0.00%,0.04,0.8,0.2,0.4,0.00
010872,BSHS300ZSZQA,股票指数,博时沪深300指数增强A,1.0541,1.0541,1.0586,1.0586,-0.0045,-0.43,开放申购,开放赎回,0.12%,0.11,0.8,0.15,0.0,0.12
010873,BSHS300ZSZQC,股票指数,博时沪深300指数增强C,1.0540,1.0540,1.0585,1.0585,-0.0045,-0.43,开放申购,开放赎回,0.00%,0.08,0.8,0.15,0.3,0.00
