基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
000216,HAHJYETFLJA,联接基金,华安黄金易ETF联接A,1.4051,1.4051,1.4095,1.4095,-0.0044,-0.31,开放申购,开放赎回,0.06%,18.7,0.5,0.1,0.0,0.06
000217,HAHJYETFLJC,联接基金,华安黄金易ETF联接C,1.3932,1.3932,1.3976,1.3976,-0.0044,-0.31,开放申购,开放赎回,0.00%,41.26,0.5,0.1,0.35,0.00
000218,GTHJETFLJA,联接基金,国泰黄金ETF联接A,1.4361,1.4361,1.4407,1.4407,-0.0046,-0.32,开放申购,开放赎回,0.07%,1.66,0.5,0.1,0.0,0.07
000307,YFDHJETFLJA,联接基金,易方达黄金ETF联接A,1.3417,1.3417,1.3462,1.3462,-0.0045,-0.33,开放申购,开放赎回,0.07%,8.79,0.5,0.1,0.0,0.07
002610,BSHJETFLJA,联接基金,博时黄金ETF联接A,1.3461,1.3461,1.3506,1.3506,-0.0045,-0.33,开放申购,开放赎回,0.06%,8.27,0.5,0.1,0.0,0.06
002611,BSHJETFLJC,联接基金,博时黄金ETF联接C,1.3232,1.3232,1.3275,1.3275,-0.0043,-0.32,开放申购,开放赎回,0.00%,65.53,0.5,0.1,0.35,0.00
002963,YFDHJETFLJC,联接基金,易方达黄金ETF联接C,1.3258,1.3258,1.3302,1.3302,-0.0044,-0.33,开放申购,开放赎回,0.00%,20.52,0.5,0.1,0.35,0.00
004253,GTHJETFLJC,联接基金,国泰黄金ETF联接C,1.4298,1.4298,1.4344,1.4344,-0.0046,-0.32,开放申购,开放赎回,0.00%,1.52,0.5,0.1,0.35,0.00
008142,GYRXHJETFLJA,联接基金,工银瑞信黄金ETF联接A,0.9669,0.9669,0.9704,0.9704,-0.0035,-0.36,开放申购,开放赎回,0.06%,0.3,0.5,0.1,0.0,0.06
008143,GYRXHJETFLJC,联接基金,工银瑞信黄金ETF联接C,0.9647,0.9647,0.9682,0.9682,-0.0035,-0.36,开放申购,开放赎回,0.00%,0.19,0.5,0.1,0.35,0.00
008701,HXHJETFLJA,联接基金,华夏黄金ETF联接A,0.9387,0.9387,0.9418,0.9418,-0.0031,-0.33,开放申购,开放赎回,0.06%,0.48,0.5,0.1,0.0,0.06
008702,HXHJETFLJC,联接基金,华夏黄金ETF联接C,0.9370,0.9370,0.9402,0.9402,-0.0032,-0.34,开放申购,开放赎回,0.00%,0.75,0.5,0.1,0.35,0.00
009198,QHKYHJETFLJ,联接基金,前海开源黄金ETF联接,0.9770,0.9770,0.9802,0.9802,-0.0032,-0.33,开放申购,开放赎回,0.06%,0.53,0.5,0.1,0.0,0.06
164701,HTFHJJGJS,QDII,汇添富黄金及贵金属,,,0.7930,0.7930,,,开放申购,开放赎回,0.08%,1.41,1.0,0.26,0.0,0.08
