净值日期,累计净值,单位净值,日增长率,复权净值
2012-06-14,1.0,1.0,0.0,1.0
2012-06-15,1.0,1.0,0.0,1.0
2012-06-21,0.999,0.999,-0.1,0.999
2012-06-29,0.9995,0.9995,0.0501,0.9995
2012-06-30,0.9996,0.9996,0.01,0.9996
2012-07-06,0.9999,0.9999,0.03,0.9999
2012-07-12,0.9992,0.9992,-0.07,0.9992
2012-07-13,1.0013,1.0013,0.2102,1.0013
2012-07-16,1.001,1.001,-0.03,1.001
2012-07-17,1.0046,1.0046,0.3596,1.0046
2012-07-18,1.0078,1.0078,0.3185,1.0078
2012-07-19,1.0095,1.0095,0.1687,1.0095
2012-07-20,0.9973,0.9973,-1.2085,0.9973
2012-07-23,0.9906,0.9906,-0.6718,0.9906
2012-07-24,0.9827,0.9827,-0.7975,0.9827
2012-07-25,0.9856,0.9856,0.2951,0.9856
2012-07-26,0.9987,0.9987,1.3291,0.9987
2012-07-27,1.0158,1.0158,1.7122,1.0158
2012-07-30,1.0147,1.0147,-0.1083,1.0147
2012-07-31,1.0109,1.0109,-0.3745,1.0109
2012-08-01,1.0085,1.0085,-0.2374,1.0085
2012-08-02,1.0027,1.0027,-0.5751,1.0027
2012-08-03,1.0237,1.0237,2.0943,1.0237
2012-08-06,1.0246,1.0246,0.0879,1.0246
2012-08-07,1.0296,1.0296,0.488,1.0296
2012-08-08,1.0312,1.0312,0.1554,1.0312
2012-08-09,1.0324,1.0324,0.1164,1.0324
2012-08-10,1.0361,1.0361,0.3584,1.0361
2012-08-13,1.0351,1.0351,-0.0965,1.0351
2012-08-14,1.0352,1.0352,0.0097,1.0352
2012-08-15,1.0371,1.0371,0.1835,1.0371
2012-08-16,1.0448,1.0448,0.7425,1.0448
2012-08-17,1.0456,1.0456,0.0766,1.0456
2012-08-20,1.0466,1.0466,0.0956,1.0466
2012-08-21,1.0424,1.0424,-0.4013,1.0424
2012-08-22,1.0415,1.0415,-0.0863,1.0415
2012-08-23,1.0318,1.0318,-0.9313,1.0318
2012-08-24,1.0387,1.0387,0.6687,1.0387
2012-08-27,1.0393,1.0393,0.0578,1.0393
2012-08-28,1.0388,1.0388,-0.0481,1.0388
2012-08-29,1.0393,1.0393,0.0481,1.0393
2012-08-30,1.0319,1.0319,-0.712,1.0319
2012-08-31,1.0374,1.0374,0.533,1.0374
2012-09-04,1.0354,1.0354,-0.1928,1.0354
2012-09-05,1.0351,1.0351,-0.029,1.0351
2012-09-06,1.056,1.056,2.0191,1.056
2012-09-07,1.06,1.06,0.3788,1.06
2012-09-10,1.0523,1.0523,-0.7264,1.0523
2012-09-11,1.0557,1.0557,0.3231,1.0557
2012-09-12,1.0581,1.0581,0.2273,1.0581
2012-09-13,1.0746,1.0746,1.5594,1.0746
2012-09-14,1.0787,1.0787,0.3815,1.0787
2012-09-17,1.0747,1.0747,-0.3708,1.0747
2012-09-18,1.0742,1.0742,-0.0465,1.0742
2012-09-19,1.0759,1.0759,0.1583,1.0759
2012-09-20,1.0752,1.0472,-0.0651,1.0752
2012-09-21,1.0756,1.0476,0.0382,1.0756
2012-09-24,1.0731,1.0451,-0.2386,1.0731
2012-09-25,1.0626,1.0346,-1.0047,1.0626
2012-09-26,1.0568,1.0288,-0.5606,1.0568
2012-09-27,1.0668,1.0388,0.972,1.0668
2012-09-28,1.0613,1.0333,-0.5295,1.0613
2012-09-30,1.0611,1.0331,-0.0194,1.0610941077999998
2012-10-08,1.0717,1.0437,1.026,1.0719809333460277
2012-10-09,1.0616,1.0336,-0.9677,1.0616073738540381
