,净值日期,复权净值,复权净值临时,日增长率,相对净值
0,2018/1/2,1.128260264,1.075175264,,0
1,2018/1/3,1.132766886,1.079311886,0.00399431,0.00399431
2,2018/1/4,1.1372661,1.0836361,0.00397188,0.007982055
3,2018/1/5,1.139912121,1.085867121,0.002326651,0.010327278
4,2018/1/8,1.141987513,1.087842513,0.001820659,0.012166739
5,2018/1/9,1.146257022,1.091987022,0.003738666,0.015950892
6,2018/1/10,1.147532183,1.093177183,0.001112456,0.017081093
7,2018/1/11,1.149467636,1.094817636,0.001686622,0.018796525
8,2018/1/12,1.153395547,1.098550547,0.003417157,0.022277912
9,2018/1/15,1.153395547,1.098550547,0,0.022277912
10,2018/1/16,1.153361296,1.099171296,-2.97E-05,0.022247554
11,2018/1/17,1.152974555,1.098254555,-0.000335316,0.021904778
12,2018/1/18,1.154536753,1.099756753,0.001354928,0.023289386
13,2018/1/19,1.153891457,1.099136457,-0.000558922,0.022717447
14,2018/1/22,1.162962968,1.107717968,0.007861667,0.030757712
15,2018/1/23,1.166089942,1.110509942,0.002688799,0.033529212
16,2018/1/24,1.164394203,1.109229203,-0.001454209,0.032026245
17,2018/1/25,1.16118873,1.10621873,-0.002752911,0.029185168
18,2018/1/26,1.165015433,1.109500433,0.003295505,0.032576853
19,2018/1/29,1.15301072,1.09791072,-0.010304338,0.021936832
20,2018/1/30,1.146149703,1.091434703,-0.005950524,0.015855773
21,2018/1/31,1.147005709,1.092130709,0.000746854,0.016614469
22,2018/2/1,1.13704844,1.08278344,-0.008681098,0.007789139
23,2018/2/2,1.131139951,1.078064951,-0.005196339,0.002552325
24,2018/2/5,1.116759968,1.065544968,-0.012712824,-0.010192946
25,2018/2/6,1.109047699,1.056512699,-0.006905932,-0.017028487
26,2018/2/7,1.097145471,1.045415471,-0.010731935,-0.027577674
27,2018/2/8,1.082657957,1.033042957,-0.013204734,-0.040418252
28,2018/2/9,1.072982231,1.022252231,-0.008937011,-0.048994044
29,2018/2/12,1.084241023,1.032836023,0.010492991,-0.039015148
30,2018/2/13,1.090931817,1.039096817,0.006170947,-0.033084961
31,2018/2/14,1.100461939,1.047551939,0.008735763,-0.024638221
32,2018/2/22,1.110104316,1.056479316,0.008762118,-0.016091985
33,2018/2/23,1.116826308,1.062236308,0.006055279,-0.010134148
34,2018/2/26,1.127469931,1.072289931,0.00953024,-0.000700489
35,2018/2/27,1.117249861,1.062929861,-0.009064605,-0.009758744
36,2018/2/28,1.111997703,1.057897703,-0.00470097,-0.014413839
37,2018/3/1,1.111251087,1.057886087,-0.000671418,-0.015075579
38,2018/3/2,1.111075222,1.057270222,-0.000158258,-0.015231452
39,2018/3/5,1.115423858,1.061013858,0.003913899,-0.011377167
40,2018/3/6,1.121866356,1.067256356,0.005775829,-0.00566705
41,2018/3/7,1.118779496,1.064124496,-0.002751541,-0.008402998
42,2018/3/8,1.123972055,1.069082055,0.004641272,-0.003800727
43,2018/3/9,1.134810789,1.078705789,0.009643241,0.005805864
44,2018/3/12,1.136908689,1.080693689,0.001848678,0.007665275
45,2018/3/13,1.130145503,1.074670503,-0.00594875,0.001670926
46,2018/3/14,1.126461537,1.071041537,-0.003259728,-0.001594249
47,2018/3/15,1.127816703,1.072531703,0.001203029,-0.000393137
48,2018/3/16,1.125718628,1.070338628,-0.001860299,-0.002252704
49,2018/3/19,1.12118519,1.06698519,-0.004027149,-0.006270782
50,2018/3/20,1.122790515,1.068500515,0.00143181,-0.00484795
51,2018/3/21,1.120058008,1.065883008,-0.002433675,-0.007269826
52,2018/3/22,1.108362433,1.055662433,-0.010441937,-0.017635852
53,2018/3/23,1.086338753,1.034868753,-0.019870468,-0.037155887
54,2018/3/26,1.097711035,1.044446035,0.010468449,-0.027076403
55,2018/3/27,1.094100896,1.042850896,-0.003288788,-0.030276142
56,2018/3/28,1.086000279,1.035295279,-0.007403903,-0.037455883
57,2018/3/29,1.094762317,1.042942317,0.008068173,-0.029689911
58,2018/3/30,1.094762317,1.042942317,0,-0.029689911
59,2018/4/2,1.095593193,1.045488193,0.000758956,-0.028953489
60,2018/4/3,1.097511131,1.046841131,0.001750593,-0.027253582
61,2018/4/4,1.101075699,1.049570699,0.003247865,-0.024094232
62,2018/4/9,1.098654391,1.047664391,-0.002199038,-0.026240287
63,2018/4/10,1.109349478,1.057324478,0.009734715,-0.016761014
64,2018/4/11,1.108630846,1.056980846,-0.000647797,-0.017397953
65,2018/4/12,1.108360941,1.056245941,-0.000243457,-0.017637174
66,2018/4/13,1.104772664,1.052812664,-0.003237462,-0.020817537
67,2018/4/16,1.104426069,1.052141069,-0.000313725,-0.021124731
68,2018/4/17,1.101000559,1.047770559,-0.003101621,-0.024160831
69,2018/4/18,1.105222587,1.051832587,0.00383472,-0.020418761
70,2018/4/19,1.106578766,1.053613766,0.001227064,-0.019216752
71,2018/4/20,1.097337813,1.045122813,-0.008350922,-0.027407197
72,2018/4/23,1.095570411,1.043390411,-0.001610627,-0.028973681
73,2018/4/24,1.100098812,1.048808812,0.004133373,-0.024960067
74,2018/4/25,1.098221184,1.047031184,-0.001706782,-0.026624247
75,2018/4/26,1.097005298,1.044635298,-0.001107141,-0.027701912
76,2018/4/27,1.097220628,1.044700628,0.000196289,-0.02751106
77,2018/5/2,1.095508623,1.042853623,-0.00156031,-0.029028445
78,2018/5/3,1.097493117,1.044793117,0.001811482,-0.027269547
79,2018/5/4,1.10049425,1.04701425,0.002734534,-0.024609583
80,2018/5/7,1.110199663,1.056279663,0.008819141,-0.016007477
81,2018/5/8,1.113971905,1.060026905,0.003397804,-0.012664063
82,2018/5/9,1.117636361,1.063061361,0.003289541,-0.009416181
83,2018/5/10,1.123305641,1.068170641,0.005072563,-0.004391383
84,2018/5/11,1.12049671,1.06563171,-0.002500595,-0.006880996
85,2018/5/14,1.122263894,1.067473894,0.001577144,-0.005314705
86,2018/5/15,1.122784811,1.068444811,0.000464166,-0.004853006
87,2018/5/16,1.123587113,1.068682113,0.000714565,-0.004141909
88,2018/5/17,1.118978213,1.064343213,-0.004101952,-0.008226871
89,2018/5/18,1.121627774,1.067187774,0.00236784,-0.005878511
90,2018/5/21,1.127160645,1.072355645,0.004932894,-0.000974615
91,2018/5/22,1.127028484,1.072363484,-0.000117251,-0.001091752
92,2018/5/23,1.123258034,1.068163034,-0.003345479,-0.004433578
93,2018/5/24,1.122590337,1.067490337,-0.000594429,-0.005025372
94,2018/5/25,1.120748737,1.065518737,-0.001640492,-0.00665762
95,2018/5/28,1.120748737,1.065518737,0,-0.00665762
96,2018/5/29,1.11997127,1.06487627,-0.000693703,-0.007346704
97,2018/5/30,1.118007049,1.062372049,-0.001753814,-0.009087633
98,2018/5/31,1.123811327,1.068301327,0.005191629,-0.003943184
