年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-01-19,2021-01-19,0.0050,2021-01-21
2016年,2016-01-18,2016-01-18,0.0100,2016-01-20
2007年,2007-08-17,2007-08-17,0.7300,2007-08-21
2007年,2007-03-19,2007-03-19,1.1500,2007-03-21
2006年,2006-08-04,2006-08-04,0.1500,2006-08-08
2006年,2006-05-26,2006-05-26,0.0800,2006-05-30
2004年,2004-04-01,2004-04-01,0.0350,2004-04-05
2004年,2004-02-13,2004-02-13,0.0450,2004-02-17
2004年,2004-01-14,2004-01-14,0.0300,2004-01-16
2003年,2003-12-22,2003-12-22,0.0150,2003-12-24
2003年,2003-06-25,2003-06-25,0.0170,2003-06-27
2003年,2003-04-28,2003-04-28,0.0320,2003-04-30
2003年,2003-03-14,2003-03-14,0.0110,2003-03-18
