净值日期,累计净值,单位净值,日增长率,复权净值
2019-11-26,2.3483,2.1883,0.0,2.3483
2019-11-28,2.344,2.184,0.0,2.344
2019-11-29,2.3417,2.1817,-0.1053,2.3417
2019-12-02,2.3432,2.1832,0.0688,2.3432
2019-12-03,2.3392,2.1792,-0.1832,2.3392
2019-12-04,2.3394,2.1794,0.0092,2.3394
2019-12-05,2.3402,2.1802,0.0367,2.3402
2019-12-06,2.3426,2.1826,0.1101,2.3426
2019-12-09,2.3443,2.1843,0.0779,2.3443
2019-12-10,2.3456,2.1856,0.0595,2.3456
2019-12-11,2.3462,2.1862,0.0275,2.3462
2019-12-12,2.3468,2.1868,0.0274,2.3468
2019-12-13,2.3496,2.1896,0.128,2.3496
2019-12-16,2.35,2.19,0.0183,2.35
2019-12-17,2.3498,2.1898,-0.0091,2.3498
2019-12-18,2.3485,2.1885,-0.0594,2.3485
2019-12-19,2.3483,2.1883,-0.0091,2.3483
2019-12-20,2.3488,2.1888,0.0228,2.3488
2019-12-23,2.3489,2.1889,0.0046,2.3489
2019-12-24,2.3488,2.1888,-0.0046,2.3488
2019-12-25,2.3489,2.1889,0.0046,2.3489
2019-12-26,2.3497,2.1897,0.0365,2.3497
2019-12-27,2.3503,2.1903,0.0274,2.3503
2019-12-30,2.3511,2.1911,0.0365,2.3511
2019-12-31,2.3513,2.1913,0.0091,2.3513
2020-01-02,2.3524,2.1924,0.0502,2.3524
2020-01-03,2.3531,2.1931,0.0319,2.3531
2020-01-06,2.3536,2.1936,0.0228,2.3536
2020-01-07,2.3541,2.1941,0.0228,2.3541
2020-01-08,2.3543,2.1943,0.0091,2.3543
2020-01-09,2.3555,2.1955,0.0547,2.3555
2020-01-10,2.3563,2.1963,0.0364,2.3563
2020-01-13,2.3573,2.1973,0.0455,2.3573
2020-01-14,2.3567,2.1967,-0.0273,2.3567
2020-01-15,2.3558,2.1958,-0.041,2.3558
2020-01-16,2.356,2.196,0.0091,2.356
2020-01-17,2.3567,2.1967,0.0319,2.3567
2020-01-20,2.3571,2.1971,0.0182,2.3571
2020-01-21,2.3545,2.1945,-0.1183,2.3545
2020-01-22,2.3568,2.1968,0.1048,2.3568
2020-01-23,2.3524,2.1924,-0.2003,2.3524
2020-02-03,2.3544,2.1944,0.0912,2.3544
2020-02-04,2.3632,2.2032,0.401,2.3632
2020-02-05,2.3656,2.2056,0.1089,2.3656
2020-02-06,2.372,2.212,0.2902,2.372
2020-02-07,2.3728,2.2128,0.0362,2.3728
2020-02-10,2.3771,2.2171,0.1943,2.3771
2020-02-11,2.3827,2.2227,0.2526,2.3827
2020-02-12,2.3926,2.2326,0.4454,2.3926
2020-02-13,2.3894,2.2294,-0.1433,2.3894
2020-02-14,2.39,2.23,0.0269,2.39
2020-02-17,2.3987,2.2387,0.3901,2.3987
2020-02-18,2.3969,2.2369,-0.0804,2.3969
2020-02-19,2.398,2.238,0.0492,2.398
2020-02-20,2.4103,2.2503,0.5496,2.4103
2020-02-21,2.411,2.251,0.0311,2.411
2020-02-24,2.412,2.252,0.0444,2.412
2020-02-25,2.4141,2.2541,0.0933,2.4141
2020-02-26,2.3964,2.2364,-0.7852,2.3964
2020-02-27,2.4029,2.2429,0.2906,2.4029
2020-02-28,2.3857,2.2257,-0.7669,2.3857
2020-03-02,2.4011,2.2411,0.6919,2.4011
2020-03-03,2.4027,2.2427,0.0714,2.4027
2020-03-04,2.4024,2.2424,-0.0134,2.4024
2020-03-05,2.4106,2.2506,0.3657,2.4106
2020-03-06,2.4087,2.2487,-0.0844,2.4087
2020-03-09,2.3871,2.2271,-0.9606,2.3871
2020-03-10,2.3994,2.2394,0.5523,2.3994
