净值日期,累计收益率
2020-07-08,0.0
2020-07-09,1.63
2020-07-10,-0.16
2020-07-13,1.89
2020-07-14,1.28
2020-07-15,0.63
2020-07-16,-3.07
2020-07-17,-2.38
2020-07-20,0.57
2020-07-21,0.72
2020-07-22,1.3
2020-07-23,1.2
2020-07-24,-3.4
2020-07-27,-3.15
2020-07-28,-1.96
2020-07-29,0.38
2020-07-30,-0.08
2020-07-31,0.95
2020-08-03,2.49
2020-08-04,2.83
2020-08-05,2.91
2020-08-06,2.74
2020-08-07,1.42
2020-08-10,2.24
2020-08-11,1.56
2020-08-12,0.99
2020-08-13,0.88
2020-08-14,2.49
2020-08-17,4.99
2020-08-18,5.36
2020-08-19,4.04
2020-08-20,3.02
2020-08-21,4.1
2020-08-24,5.0
2020-08-25,5.25
2020-08-26,4.03
2020-08-27,4.42
2020-08-28,6.93
2020-08-31,6.38
2020-09-01,7.23
2020-09-02,7.39
2020-09-03,7.03
2020-09-04,5.99
2020-09-07,3.59
2020-09-08,4.08
2020-09-09,1.96
2020-09-10,2.24
2020-09-11,3.09
2020-09-14,3.56
2020-09-15,4.46
2020-09-16,4.1
2020-09-17,4.05
2020-09-18,6.21
2020-09-21,5.2
2020-09-22,4.29
2020-09-23,4.57
2020-09-24,2.86
2020-09-25,3.12
2020-09-28,3.38
2020-09-29,3.73
2020-09-30,3.6
2020-10-09,5.6
2020-10-12,8.37
2020-10-13,8.82
2020-10-14,8.35
2020-10-15,8.21
2020-10-16,8.28
2020-10-19,7.57
2020-10-20,8.3
2020-10-21,8.1
2020-10-22,7.67
2020-10-23,6.37
2020-10-26,5.96
2020-10-27,6.09
2020-10-28,6.83
2020-10-29,7.75
2020-10-30,5.77
2020-11-02,6.3
2020-11-03,7.51
2020-11-04,8.09
2020-11-05,9.67
2020-11-06,9.57
2020-11-09,11.37
2020-11-10,10.46
2020-11-11,9.53
2020-11-12,9.71
2020-11-13,8.51
2020-11-16,9.52
2020-11-17,9.28
2020-11-18,9.62
2020-11-19,10.25
2020-11-20,10.61
2020-11-23,11.95
2020-11-24,11.43
2020-11-25,10.07
2020-11-26,10.31
2020-11-27,11.56
2020-11-30,11.5
2020-12-01,13.97
2020-12-02,14.29
2020-12-03,14.14
2020-12-04,14.12
2020-12-07,13.64
2020-12-08,13.43
2020-12-09,12.0
2020-12-10,11.89
2020-12-11,10.68
2020-12-14,11.34
2020-12-15,11.67
2020-12-16,11.82
2020-12-17,13.11
2020-12-18,12.79
2020-12-21,13.96
2020-12-22,12.35
2020-12-23,13.14
2020-12-24,13.06
2020-12-25,13.89
2020-12-28,14.42
2020-12-29,13.95
2020-12-30,15.89
2020-12-31,18.02
2021-01-04,18.94
2021-01-05,20.72
2021-01-06,21.8
2021-01-07,23.84
2021-01-08,23.52
